ID,Site,Impact,Date,Size_mm
3882,CDM_far,Low,2020-10-15,29
3883,CDM_far,Low,2020-10-15,29
3884,CDM_far,Low,2020-10-15,29
3885,CDM_far,Low,2020-10-15,29
3886,CDM_far,Low,2020-10-15,29
3887,CDM_far,Low,2020-10-15,29
3888,CDM_far,Low,2020-10-15,29
3889,CDM_far,Low,2020-10-15,29
3890,CDM_far,Low,2020-10-15,29
3891,CDM_far,Low,2020-10-15,29
3892,CDM_far,Low,2020-10-15,29
3893,CDM_far,Low,2020-10-15,29
3894,CDM_far,Low,2020-10-15,30
3895,CDM_far,Low,2020-10-15,30
3896,CDM_far,Low,2020-10-15,30
3897,CDM_far,Low,2020-10-15,30
3898,CDM_far,Low,2020-10-15,30
3899,CDM_far,Low,2020-10-15,30
3900,CDM_far,Low,2020-10-15,30
3901,CDM_far,Low,2020-10-15,30
3902,CDM_far,Low,2020-10-15,30
3903,CDM_far,Low,2020-10-15,30
3904,CDM_far,Low,2020-10-15,30
3905,CDM_far,Low,2020-10-15,30
3906,CDM_far,Low,2020-10-15,30
3907,CDM_far,Low,2020-10-15,30
3908,CDM_far,Low,2020-10-15,30
3909,CDM_far,Low,2020-10-15,30
3910,CDM_far,Low,2020-10-15,30
3911,CDM_far,Low,2020-10-15,30
3912,CDM_far,Low,2020-10-15,30
3913,CDM_far,Low,2020-10-15,30
3914,CDM_far,Low,2020-10-15,30
3915,CDM_far,Low,2020-10-15,30
3916,CDM_far,Low,2020-10-15,30
3917,CDM_far,Low,2020-10-15,31
3918,CDM_far,Low,2020-10-15,31
3919,CDM_far,Low,2020-10-15,31
3920,CDM_far,Low,2020-10-15,31
3921,CDM_far,Low,2020-10-15,31
3922,CDM_far,Low,2020-10-15,31
3923,CDM_far,Low,2020-10-15,31
3924,CDM_far,Low,2020-10-15,31
3925,CDM_far,Low,2020-10-15,31
3926,CDM_far,Low,2020-10-15,31
3927,CDM_far,Low,2020-10-15,31
3928,CDM_far,Low,2020-10-15,31
3929,CDM_far,Low,2020-10-15,31
3930,CDM_far,Low,2020-10-15,31
3931,CDM_far,Low,2020-10-15,31
3932,CDM_far,Low,2020-10-15,31
3933,CDM_far,Low,2020-10-15,31
3934,CDM_far,Low,2020-10-15,31
3935,CDM_far,Low,2020-10-15,31
3936,CDM_far,Low,2020-10-15,31
3937,CDM_far,Low,2020-10-15,32
3938,CDM_far,Low,2020-10-15,32
3939,CDM_far,Low,2020-10-15,32
3940,CDM_far,Low,2020-10-15,32
3941,CDM_far,Low,2020-10-15,32
3942,CDM_far,Low,2020-10-15,32
3943,CDM_far,Low,2020-10-15,32
3944,CDM_far,Low,2020-10-15,32
3945,CDM_far,Low,2020-10-15,32
3946,CDM_far,Low,2020-10-15,32
3947,CDM_far,Low,2020-10-15,32
3948,CDM_far,Low,2020-10-15,32
3949,CDM_far,Low,2020-10-15,32
3950,CDM_far,Low,2020-10-15,33
3951,CDM_far,Low,2020-10-15,33
3952,CDM_far,Low,2020-10-15,33
3953,CDM_far,Low,2020-10-15,33
3954,CDM_far,Low,2020-10-15,33
3955,CDM_far,Low,2020-10-15,33
3956,CDM_far,Low,2020-10-15,33
3957,CDM_far,Low,2020-10-15,34
3958,CDM_far,Low,2020-10-15,34
3959,CDM_far,Low,2020-10-15,34
3960,CDM_far,Low,2020-10-15,34
3961,CDM_far,Low,2020-10-15,34
3962,CDM_far,Low,2020-10-15,35
3963,CDM_far,Low,2020-10-15,35
3964,CDM_far,Low,2020-10-15,35
3965,CDM_far,Low,2020-10-15,35
3966,CDM_far,Low,2020-10-15,35
3967,CDM_far,Low,2020-10-15,35
3968,CDM_far,Low,2020-10-15,35
3969,CDM_far,Low,2020-10-15,35
3970,CDM_far,Low,2020-10-15,35
3971,CDM_far,Low,2020-10-15,35
3972,CDM_far,Low,2020-10-15,35
3973,CDM_far,Low,2020-10-15,35
3974,CDM_far,Low,2020-10-15,35
3975,CDM_far,Low,2020-10-15,35
3976,CDM_far,Low,2020-10-15,35
3977,CDM_far,Low,2020-10-15,36
3978,CDM_far,Low,2020-10-15,36
3979,CDM_far,Low,2020-10-15,36
3980,CDM_far,Low,2020-10-15,36
3981,CDM_far,Low,2020-10-15,36
3982,CDM_far,Low,2020-10-15,37
3983,CDM_far,Low,2020-10-15,37
3984,CDM_far,Low,2020-10-15,37
3985,CDM_far,Low,2020-10-15,37
3986,CDM_far,Low,2020-10-15,37
3987,CDM_far,Low,2020-10-15,37
3988,CDM_far,Low,2020-10-15,37
3989,CDM_far,Low,2020-10-15,37
3990,CDM_far,Low,2020-10-15,37
3991,CDM_far,Low,2020-10-15,37
3992,CDM_far,Low,2020-10-15,37
3993,CDM_far,Low,2020-10-15,37
3994,CDM_far,Low,2020-10-15,37
3995,CDM_far,Low,2020-10-15,38
3996,CDM_far,Low,2020-10-15,38
3997,CDM_far,Low,2020-10-15,38
3998,CDM_far,Low,2020-10-15,38
3999,CDM_far,Low,2020-10-15,38
4000,CDM_far,Low,2020-10-15,38
4001,CDM_far,Low,2020-10-15,38
4002,CDM_far,Low,2020-10-15,38
4003,CDM_far,Low,2020-10-15,38
4004,CDM_far,Low,2020-10-15,38
4005,CDM_far,Low,2020-10-15,38
4006,CDM_far,Low,2020-10-15,38
4007,CDM_far,Low,2020-10-15,39
4008,CDM_far,Low,2020-10-15,39
4009,CDM_far,Low,2020-10-15,39
4010,CDM_far,Low,2020-10-15,40
4011,CDM_far,Low,2020-10-15,40
4012,CDM_far,Low,2020-10-15,40
4013,CDM_far,Low,2020-10-15,40
4014,CDM_far,Low,2020-10-15,40
4015,CDM_far,Low,2020-10-15,40
4016,CDM_far,Low,2020-10-15,40
4017,CDM_far,Low,2020-10-15,40
4018,CDM_far,Low,2020-10-15,41
4019,CDM_far,Low,2020-10-15,41
4020,CDM_far,Low,2020-10-15,41
4021,CDM_far,Low,2020-10-15,41
4022,CDM_far,Low,2020-10-15,41
4023,CDM_far,Low,2020-10-15,41
4024,CDM_far,Low,2020-10-15,41
4025,CDM_far,Low,2020-10-15,41
4026,CDM_far,Low,2020-10-15,42
4027,CDM_far,Low,2020-10-15,42
4028,CDM_far,Low,2020-10-15,42
